City,State,station_count,total_ports,city_state
Alexandria,VA,77,221,"Alexandria, VA"
Haverstraw,NY,76,142,"Haverstraw, NY"
City Of Industry,CA,75,173,"City Of Industry, CA"
Coral Gables,FL,75,228,"Coral Gables, FL"
Quincy,MA,75,127,"Quincy, MA"
Greenville,SC,74,220,"Greenville, SC"
Walnut Creek,CA,74,220,"Walnut Creek, CA"
Elk Grove,CA,73,200,"Elk Grove, CA"
Eugene,OR,73,211,"Eugene, OR"
Bethesda,MD,73,218,"Bethesda, MD"
Palm Springs,CA,72,191,"Palm Springs, CA"
Ontario,CA,72,275,"Ontario, CA"
Lansing,MI,72,173,"Lansing, MI"
Saratoga Springs,NY,72,173,"Saratoga Springs, NY"
Fort Wayne,IN,71,174,"Fort Wayne, IN"
Bend,OR,71,154,"Bend, OR"
Memphis,TN,70,190,"Memphis, TN"
Carlsbad,CA,69,227,"Carlsbad, CA"
Schenectady,NY,69,287,"Schenectady, NY"
Oklahoma City,OK,69,235,"Oklahoma City, OK"
Berkeley,CA,68,158,"Berkeley, CA"
Charleston,SC,68,167,"Charleston, SC"
Lowell,MA,68,154,"Lowell, MA"
Grand Junction,CO,68,138,"Grand Junction, CO"
Grand Rapids,MI,67,164,"Grand Rapids, MI"
Sterling,VA,67,150,"Sterling, VA"
Knoxville,TN,67,227,"Knoxville, TN"
Chattanooga,TN,67,185,"Chattanooga, TN"
San Rafael,CA,67,183,"San Rafael, CA"
Henderson,NV,66,188,"Henderson, NV"
Alpharetta,GA,66,199,"Alpharetta, GA"
Little Rock,AR,65,191,"Little Rock, AR"
Cleveland,OH,65,181,"Cleveland, OH"
Asheville,NC,65,257,"Asheville, NC"
Kissimmee,FL,65,249,"Kissimmee, FL"
Beverly Hills,CA,65,140,"Beverly Hills, CA"
Miami Beach,FL,65,247,"Miami Beach, FL"
Milwaukee,WI,64,150,"Milwaukee, WI"
Columbus,GA,64,131,"Columbus, GA"
Savannah,GA,64,183,"Savannah, GA"
Latham,NY,63,199,"Latham, NY"
Malibu,CA,62,181,"Malibu, CA"
Ithaca,NY,62,205,"Ithaca, NY"
Boise,ID,62,155,"Boise, ID"
Universal City,CA,61,151,"Universal City, CA"
Chula Vista,CA,61,202,"Chula Vista, CA"
Oceanside,CA,61,192,"Oceanside, CA"
Fairfax,VA,61,158,"Fairfax, VA"
Roseville,CA,61,259,"Roseville, CA"
Inglewood,CA,60,572,"Inglewood, CA"
Jersey City,NJ,60,212,"Jersey City, NJ"
Tulsa,OK,60,276,"Tulsa, OK"
Fort Myers,FL,60,141,"Fort Myers, FL"
Somerville,MA,59,169,"Somerville, MA"
Livermore,CA,59,246,"Livermore, CA"
East Hartford,CT,59,135,"East Hartford, CT"
Portland,ME,59,221,"Portland, ME"
Glendale,CA,59,236,"Glendale, CA"
El Paso,TX,59,218,"El Paso, TX"
Columbia,SC,58,159,"Columbia, SC"
Waltham,MA,58,118,"Waltham, MA"
