ZIP_ZCTA,distance_to_nearest_interstate_miles
01001,0.4497137681779219
01002,6.095750365349799
01003,5.143924947645134
01005,9.79388717468768
01007,7.047540187160155
01008,1.272391618198921
01009,2.650940271949162
01010,2.8008667876383186
01011,3.9321492099543707
01012,11.139589712057104
01013,0.13613733324117905
01020,0.026825907008583255
01022,2.3164320515569505
01026,15.620251559581755
01027,2.1620488291623343
01028,3.264987359587878
01029,3.942613141050306
01030,1.2584289518905838
01031,8.849683389614917
01032,9.923100024757685
01033,5.482133524017012
01034,6.112143920469283
01035,2.443800414350565
01036,6.739713417543777
01037,13.148731272165985
01038,1.3827967215331305
01039,3.2621421737750205
01040,0.13252296458673551
01050,6.652369442523094
01053,3.667532409930437
01054,6.678339960563261
01056,0.6252812050289319
01057,5.000228519048096
01060,0.8102201858246909
01062,3.368649279609273
01063,0.8870604380671333
01066,0.08763830275658012
01068,12.411290883119324
01069,0.01324611959664751
01070,15.094217517980132
01071,0.6549247308600377
01072,9.173201733057518
01073,5.087634192843222
01074,12.526427906362416
01075,2.005101470334251
01077,4.659252984292692
01079,0.840814647062056
01080,1.2804582128277908
01081,5.111217379298345
01082,8.557834863520936
01083,1.8167049439955587
01084,10.55933571239036
01085,0.7525585365758778
01088,0.44918856064823526
01089,0.07226632729397428
01092,0.7802089813437062
01093,1.2654296098992244
01094,13.530901491245663
01095,1.3955494892529952
01096,5.041115570271214
01097,0.27787722146282334
01098,11.415681943807316
01103,0.21371111935571713
01104,0.2718409407449515
01105,0.3951506688656095
01106,2.4027940150130047
01107,0.04721464895218884
01108,1.4301455891550081
01109,0.9786172560330727
01118,2.8611740915201787
01119,1.995135867819383
01128,4.445218155824279
01129,3.0951768240764164
01144,0.029547028422480515
01151,1.226772826506723
01201,8.840384713525046
01220,19.349194877651318
01222,16.308596740862157
01223,2.417797175821154
01224,14.053624087971764
01225,18.524892994526315
01226,12.17406673156118
01229,1.154849164371438
01230,6.85045955475177
01235,10.611348457839677
01236,1.1029609327664296
01237,14.961017401194907
01238,0.4278201210961961
01240,4.509436395020853
01242,2.522143593090745
01243,7.593919244049545
01244,12.40790081569346
01245,6.540602710416239
01247,14.374204131350066
01253,2.7974602598481026
01254,3.1148590618976812
01255,9.926444286750632
01256,20.293105816017253
01257,15.118437271641211
01258,16.197516340961464
01259,13.78972163803721
01260,2.4833938790883225
01262,1.1779731120887111
01264,4.021669147651533
01266,1.530523367898167
01267,13.292332411831072
01270,16.88093605503743
01301,0.5845082437089563
01330,7.743660523417148
01331,1.4675268636011927
01337,3.430014413201569
01338,9.359660072524868
01339,13.193243297513463
01340,8.124138867939147
01341,3.9785520065688567
01342,0.6693133732365988
01343,18.159262328403127
01344,5.362456858930312
01346,10.416397683599053
01347,5.5904401659448855
01349,6.777553176467148
01350,16.081751093212215
01351,5.081030213371881
01354,2.346527141713718
01355,7.031679557701935
01360,4.437386090095924
01364,0.7087652217078514
01366,5.513453239088515
01367,16.623852804218522
01368,6.93411615092674
01370,6.04360525859732
01373,0.3061521900986827
01375,3.51853236916372
01376,2.503121519857025
01378,6.001135522350845
01379,4.937678499247044
01380,3.4433526187417436
01420,2.74295833555246
01430,5.510000477096553
01431,8.806269505794727
01432,2.227157108850851
01434,1.07929388365381
01436,2.1691139169856184
01438,0.3372758765256762
01440,0.6270894921282585
01450,5.8791942932706975
01451,1.7871573958308913
01452,4.41951307757195
01453,0.30271314512599945
01460,0.2840529740631324
01462,5.422868042881215
01463,7.5890294118881005
01464,0.5402016009558356
01468,1.4158276078591434
01469,8.870990776467282
01473,0.4166569921129384
01474,8.769644022237763
01475,7.039492648275055
01501,0.2721762797764181
01503,0.5294449138975467
01504,1.8139534731840976
01505,2.0754294087915484
01506,2.9697479051988793
01507,0.698132494922762
01510,4.127032649197702
01515,5.849138499712992
01516,1.479204634708342
01518,1.5074510824097784
01519,1.3329064331397982
01520,1.9501213320802195
01521,2.3872001708814947
01522,2.514156360013577
01523,2.112745313778145
01524,4.429189747728742
01525,2.476552618813234
01527,0.4207804739029199
01529,1.5121424008919833
01531,10.743325442452726
01532,1.4728789704834817
01534,2.9196899348598016
01535,8.822375053864738
01536,1.3507680700714828
01537,0.9945698425799961
01540,0.22940085255456388
01541,5.993569711128104
01542,1.6696309547540513
01543,7.7417838975521125
01545,1.8810276564921415
01550,2.715245236181608
01560,3.0399275402961186
01561,2.5664826969548797
01562,5.939996531572792
01564,0.08776666942894887
01566,0.24038511113384434
01568,4.585639354890787
01569,1.3671047077578562
01570,0.18359780294783046
01571,1.6137859112563349
01581,1.4609529815281208
01583,1.454906321267584
01585,4.4890839561495675
01588,2.835449416196142
01590,2.5720991822937815
01602,2.664603357116994
